headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
ability,noun,A2,,,
abroad,adverb,A2,,,
accept,verb,A2,,,
acceptable,adjective,A2,,,
accident,noun,A2,"News, lifestyles and current affairs",,Health and body care
account,noun,A2,"Things in the town, shops and shopping",,Services
achieve,verb,A2,,,
across,adverb,A2,,,
across,preposition,A2,,,
act,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
actually,adverb,A2,,,
addition,noun,A2,Collocation,,Language
additional,adjective,A2,,,
adjective,noun,A2,Education,,Language
adjust,verb,A2,,,
admire,verb,A2,,,
admit,verb,A2,,,
adult,adjective,A2,,,
adult,noun,A2,,,Personal identification
advanced,adjective,A2,,,
advantage,noun,A2,Work and jobs,,
adventure,noun,A2,Books and literature,,"Free time, entertainment"
advertisement,noun,A2,Shopping,,Services
advertising,noun,A2,Shopping,,Services
advice,noun,A2,,,
advise,verb,A2,,,
affair,noun,A2,Work and jobs,"News, lifestyles and current affairs",
after,adverb,A2,,,
against,preposition,A2,,,
aged,adjective,A2,,,
agency,noun,A2,Travel and services vocab,,Travel
agent,noun,A2,"Things in the town, shops and shopping",,Services
ahead,adverb,A2,,,
air,noun,A2,,,
aisle,noun,A2,Travel and services vocab,,Travel
alarm,noun,A2,,,
alarm clock,noun,A2,,,"House and home, environment"
alive,adjective,A2,,,
all,adverb,A2,,,
allow,verb,A2,,,
alone,adjective,A2,,,
along,preposition,A2,,,
alright,adjective,A2,,,
alright,adverb,A2,,,
although,conjunction,A2,,,
ambition,noun,A2,,,
among,preposition,A2,,,
amused,adjective,A2,,,
amusement,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
ancestor,noun,A2,Education,,Relations with other people
ancient,adjective,A2,,,
angel,noun,A2,Books and literature,,"Free time, entertainment"
angrily,adverb,A2,,,
ankle,noun,A2,Personal information,,Health and body care
anniversary,noun,A2,Family life,,Daily life
annoy,verb,A2,,,
annoying,adjective,A2,,,
another,pronoun,A2,,,
anxious,adjective,A2,,,
anymore,adverb,A2,,,
anyway,adverb,A2,,,
anywhere,adverb,A2,,,
apart,adverb,A2,,,
apartment,noun,A2,"Things in the town, shops and shopping",,Places
apologise,verb,A2,,,
apologize,verb,A2,,,
apparently,adverb,A2,,,
appear,verb,A2,,,
appearance,noun,A2,,,
apply,verb,A2,,,
appointment,noun,A2,Work and jobs,,
appreciate,verb,A2,,,
appropriate,adjective,A2,,,
architecture,noun,A2,"Things in the town, shops and shopping",Arts,"House and home, environment"
area,noun,A2,Travel and services vocab,,
argue,verb,A2,,,
argument,noun,A2,,,
armchair,noun,A2,,,"House and home, environment"
armed,adjective,A2,,,
around,adverb,A2,,,
artificial,adjective,A2,,,
as,conjunction,A2,,,
asleep,adjective,A2,,,
assistant,adjective,A2,,,
association,noun,A2,"Things in the town, shops and shopping",,Relations with other people
astronaut,noun,A2,Work and jobs,,Personal identification
athlete,noun,A2,Work and jobs,Leisure activities,Personal identification
atom,noun,A2,Education,,
attack,noun,A2,"News, lifestyles and current affairs",,Relations with other people
attack,verb,A2,,,
attempt,noun,A2,,,
attention,noun,A2,,,
attitude,noun,A2,,,
attractive,adjective,A2,,,
audience,noun,A2,Media,,"Free time, entertainment"
audio,adjective,A2,,,
author,noun,A2,Education,,"Free time, entertainment"
automatic,adjective,A2,,,
automatically,adverb,A2,,,
average,adjective,A2,,,
average,noun,A2,,,
avoid,verb,A2,,,
award,noun,A2,Media,,"Free time, entertainment"
awful,adjective,A2,,,
back,adjective,A2,,,
background,noun,A2,Personal information,,
badly,adverb,A2,,,
badminton,noun,A2,,,"Free time, entertainment"
bake,verb,A2,,,
balcony,noun,A2,Objects and rooms,,"House and home, environment"
balloon,noun,A2,"Things in the town, shops and shopping",,
bank,verb,A2,,,
banking,noun,A2,Travel and services vocab,,Services
barbecue,noun,A2,,,"Free time, entertainment"
barber,noun,A2,"Things in the town, shops and shopping",Work and jobs,Services
bargain,noun,A2,Shopping,,Shopping
base,noun,A2,,,
basic,adjective,A2,,,
basically,adverb,A2,,,
basket,noun,A2,Objects and rooms,,Shopping
batch,noun,A2,Collocation,,Language
battery,noun,A2,,,
bay,noun,A2,,,"House and home, environment"
bear,verb,A2,,,
beauty,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
been,be-verb,A2,,,
beer,noun,A2,Food and drink,,Food and drink
before,conjunction,A2,,,
beg,verb,A2,,,
beginner,noun,A2,,,Personal identification
beginning,noun,A2,,,
behavior,noun,A2,,,
behaviour,noun,A2,,,
being,noun,A2,Collocation,,Language
belly,noun,A2,,,
belong,verb,A2,,,
belt,noun,A2,,,Shopping
bench,noun,A2,"Things in the town, shops and shopping",,"House and home, environment"
bend,verb,A2,,,
besides,adverb,A2,,,
better,adverb,A2,,,
beyond,preposition,A2,,,
bill,noun,A2,Shopping,,Shopping
bit,noun,A2,Collocation,,Language
bite,noun,A2,,,
blackboard,noun,A2,Education,,Education
blame,verb,A2,,,
blanket,noun,A2,Objects and rooms,,Shopping
blonde,adjective,A2,,,
blood,noun,A2,,,
bloom,noun,A2,"Things in the town, shops and shopping",,
blow,noun,A2,,,
board game,noun,A2,,,"Free time, entertainment"
boil,verb,A2,,,
boiled,adjective,A2,,,
bonus,noun,A2,Work and jobs,,Services
bookcase,noun,A2,,,Shopping
bookshelf,noun,A2,,,"House and home, environment"
bookshop,noun,A2,,,Shopping
bored,adjective,A2,,,
boss,noun,A2,Work and jobs,,Personal identification
bother,verb,A2,,,
bra,noun,A2,Clothes,,Shopping
brainstorm,noun,A2,,,
brake,noun,A2,,,
branch,noun,A2,"Things in the town, shops and shopping",,Services
brand,noun,A2,Shopping,,Shopping
brave,adjective,A2,,,
break,noun,A2,,,
breeze,noun,A2,,,Weather
bride,noun,A2,Family life,,Personal identification
brilliant,adjective,A2,,,
brown,noun,A2,,,
budget,noun,A2,Work and jobs,,Services
bug,noun,A2,,,
bulb,noun,A2,,,
burn,noun,A2,,,
bury,verb,A2,,,
bus station,noun,A2,,,Travel
bus stop,noun,A2,,,Travel
bush,noun,A2,"Things in the town, shops and shopping",,Places
businessman,noun,A2,Work and jobs,,Personal identification
businesswoman,noun,A2,,,Personal identification
cab,noun,A2,Ways of travelling,"Things in the town, shops and shopping",Travel
cafeteria,noun,A2,"Things in the town, shops and shopping",,Food and drink
calendar,noun,A2,,,"House and home, environment"
call,verb,A2,,,
camp,verb,A2,,,
camping,noun,A2,,,"Free time, entertainment"
campus,noun,A2,Education,,Education
can,noun,A2,,,Shopping
capital,noun,A2,,,Places
capital letter,noun,A2,,,Language
captain,noun,A2,Work and jobs,,Personal identification
car park,noun,A2,,,Travel
carrot,noun,A2,,,Shopping
cash,noun,A2,Shopping,,Services
cassette,noun,A2,Objects and rooms,,"Free time, entertainment"
castle,noun,A2,,,"House and home, environment"
cause,verb,A2,,,
cent,noun,A2,,,
center,noun,A2,,,
centimeter,noun,A2,,,
centimetre,noun,A2,,,
centre,noun,A2,,,
century,noun,A2,,,
cereal,noun,A2,,,Food and drink
certain,adjective,A2,,,
certainly,adverb,A2,,,
chain,noun,A2,,,
chairman,noun,A2,,,
challenge,noun,A2,,,
champagne,noun,A2,,,Food and drink
championship,noun,A2,,,
chance,noun,A2,,,
chapter,noun,A2,Books and literature,Education,"Free time, entertainment"
chart,noun,A2,Education,,Education
chat,verb,A2,,,
cheap,adjective,A2,,,
check,verb,A2,,,
cheek,noun,A2,,,Health and body care
cheer,verb,A2,,,
chef,noun,A2,,,Personal identification
chemical,adjective,A2,,,
cheque,noun,A2,,,Services
chess,noun,A2,,,"Free time, entertainment"
chest,noun,A2,,,Health and body care
childhood,noun,A2,,,
chili,noun,A2,,,Food and drink
chilli,noun,A2,,,Food and drink
chimpanzee,noun,A2,Education,,
chin,noun,A2,,,Health and body care
chirp,noun,A2,,,
choice,noun,A2,,,
cigarette,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
citizen,noun,A2,Nationalities and countries,,
claim,verb,A2,,,
classic,adjective,A2,,,
classical music,noun,A2,,,
cleaner,noun,A2,,,"House and home, environment"
clear,adjective,A2,,,
clearly,adverb,A2,,,
clerk,noun,A2,Work and jobs,,Personal identification
click,verb,A2,,,
climb,verb,A2,,,
climbing,noun,A2,,,"Free time, entertainment"
clone,verb,A2,,,
clown,noun,A2,,,
clue,noun,A2,,,Personal identification
coast,noun,A2,,,"House and home, environment"
coin,noun,A2,Shopping,,Shopping
cola,noun,A2,Food and drink,,Food and drink
colorful,adjective,A2,Colours,,
colourful,adjective,A2,Colours,,
column,noun,A2,,,
comb,noun,A2,,,Shopping
comfortable,adjective,A2,,,
comic,adjective,A2,,,
comic,noun,A2,,,"Free time, entertainment"
commitment,noun,A2,,,
committee,noun,A2,,,
common,adjective,A2,,,
communicate,verb,A2,,,
communication,noun,A2,,,
company,noun,A2,,,
comparative,noun,A2,,,
compare,verb,A2,,,
competition,noun,A2,,,
complain,verb,A2,,,
complaint,noun,A2,,,
complete,adjective,A2,,,
composer,noun,A2,Work and jobs,Arts,Personal identification
concentrate,verb,A2,,,
concern,noun,A2,,,
condition,noun,A2,,,
confident,adjective,A2,,,
confuse,verb,A2,,,
confused,adjective,A2,,,
consequence,noun,A2,,,
consider,verb,A2,,,
consist,verb,A2,,,
contact,noun,A2,,,
contact,verb,A2,,,
container,noun,A2,Objects and rooms,,"House and home, environment"
context,noun,A2,Education,,Language
continent,noun,A2,Education,,Places
continue,verb,A2,,,
contrast,noun,A2,,,
control,noun,A2,,,
convenience,noun,A2,,,
convenient,adjective,A2,,,
cooker,noun,A2,,,"House and home, environment"
cooking,noun,A2,,,
cooler,noun,A2,,,
copy,verb,A2,,,
correctly,adverb,A2,,,
cost,noun,A2,,,
cost,verb,A2,,,
count,verb,A2,,,
country,noun,A2,Nationalities and countries,,Places
countryside,noun,A2,Nationalities and countries,Holidays,Places
couple,noun,A2,Family life,,Personal identification
court,noun,A2,"Things in the town, shops and shopping",,Relations with other people
cover,verb,A2,,,
crazy,adjective,A2,,,
cream,adjective,A2,,,
create,verb,A2,,,
creative,adjective,A2,,,
creativity,noun,A2,,,
creature,noun,A2,Education,,
credit,noun,A2,Shopping,,Services
cricket,noun,A2,,,"Free time, entertainment"
crime,noun,A2,"News, lifestyles and current affairs",,Relations with other people
crisp,noun,A2,,,
criticise,verb,A2,,,
criticize,verb,A2,,,
cross,noun,A2,Books and literature,,
cross,verb,A2,,,
crowd,noun,A2,"Things in the town, shops and shopping",,Travel
crowded,adjective,A2,,,
crown,noun,A2,,,
cruise,noun,A2,Travel and services vocab,,Travel
cry,verb,A2,,,
cupboard,noun,A2,,,"House and home, environment"
curry,noun,A2,,,Food and drink
curse,noun,A2,Books and literature,,"Free time, entertainment"
custom,noun,A2,Nationalities and countries,Hobbies and pastimes,Places
customer,noun,A2,Shopping,,Services
cycling,noun,A2,,,"Free time, entertainment"
daily,adjective,A2,,,
daily,adverb,A2,,,
dam,noun,A2,Education,,Places
dancer,noun,A2,Hobbies and pastimes,,Personal identification
danger,noun,A2,"News, lifestyles and current affairs",,Travel
dangerous,adjective,A2,,,
daylight,noun,A2,,,
dead,adjective,A2,,,
deal,noun,A2,Collocation,,Language
