headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
abandon,verb,B1,,,
able,adjective,B1,,,
abnormal,adjective,B1,,,
aboard,adverb,B1,,,
aborigine,noun,B1,Nationalities and countries,,
above,adjective,B1,,,
absence,noun,B1,,,
absent,adjective,B1,,,
absolute,adjective,B1,,,
absolutely,adverb,B1,,,
absorb,verb,B1,,,
abstract,adjective,B1,,,
abundance,noun,B1,,,
abundant,adjective,B1,,,
academic,adjective,B1,,,
academy,noun,B1,Education,,
accent,noun,B1,Education,,Education
acceptance,noun,B1,,,
access,noun,B1,Ways of travelling,,Travel
accessible,adjective,B1,,,
accessory,noun,B1,Shopping,,Shopping
accidental,adjective,B1,,,
accidentally,adverb,B1,,,
accompany,verb,B1,,,
accomplish,verb,B1,,,
according to,preposition,B1,,,
account,verb,B1,,,
accountant,noun,B1,Work and jobs,,Personal identification
accuracy,noun,B1,,,
accurate,adjective,B1,,,
accurately,adverb,B1,,,
accuse,verb,B1,,,
accustom,verb,B1,,,
ache,noun,B1,Travel and services vocab,,Health and body care
achievement,noun,B1,Education,,
acknowledge,verb,B1,,,
acknowledgement,noun,B1,,,
acknowledgment,noun,B1,,,
acquaintance,noun,B1,Personal information,,
acquire,verb,B1,,,
act,verb,B1,,,
active,adjective,B1,,,
actress,noun,B1,Work and jobs,Film,Personal identification
ad,noun,B1,Media,,
adapt,verb,B1,,,
address,verb,B1,,,
addressee,noun,B1,,,
administration,noun,B1,Travel and services vocab,,
admiration,noun,B1,,,
admission,noun,B1,Education,,
adopt,verb,B1,,,
adorable,adjective,B1,,,
advance,verb,B1,,,
adverb,noun,B1,Education,,Education
adverbial,adjective,B1,,,
advert,noun,B1,,,
advertise,verb,B1,,,
adviser,noun,B1,Education,Work and jobs,Personal identification
advisor,noun,B1,Education,Work and jobs,Personal identification
aerobics,noun,B1,Hobbies and pastimes,,"Free time, entertainment"
affect,verb,B1,,,
affection,noun,B1,,,
afford,verb,B1,,,
after,conjunction,B1,,,
afterward,adverb,B1,,,
afterwards,adverb,B1,,,
agenda,noun,B1,Work and jobs,,
aggressive,adjective,B1,,,
agreement,noun,B1,Work and jobs,,
agricultural,adjective,B1,,,
agriculture,noun,B1,Food and drink,Work and jobs,
aid,noun,B1,,,
aid,verb,B1,,,
aim,noun,B1,,,
air conditioning,noun,B1,Objects and rooms,,"House and home, environment"
air force,noun,B1,,,Personal identification
airline,noun,B1,Travel and services vocab,,Travel
alarm,verb,B1,,,
alcohol,noun,B1,Food and drink,,Food and drink
alcoholic,adjective,B1,,,
alike,adjective,B1,,,
alike,adverb,B1,,,
allergic,adjective,B1,,,
allowance,noun,B1,,,
aloud,adverb,B1,,,
alphabet,noun,B1,Books and literature,,Language
alternative,adjective,B1,,,
alternative,noun,B1,,,
altogether,adverb,B1,,,
amazed,adjective,B1,,,
amazing,adjective,B1,,,
ambitious,adjective,B1,,,
ambulance,noun,B1,"Things in the town, shops and shopping",,Travel
amount,noun,B1,,,
amusing,adjective,B1,,,
analyse,verb,B1,,,
analysis,noun,B1,Education,,
analyze,verb,B1,,,
anger,noun,B1,,,
angle,noun,B1,,,
animated,adjective,B1,,,
animation,noun,B1,Hobbies and pastimes,Media,"Free time, entertainment"
announce,verb,B1,,,
announcement,noun,B1,"News, lifestyles and current affairs",,
annoyance,noun,B1,,,
annoyed,adjective,B1,,,
annual,adjective,B1,,,
annually,adverb,B1,,,
ant,noun,B1,,,
anti,adjective,B1,,,
antique,noun,B1,Objects and rooms,,Shopping
antonym,noun,B1,Education,,
anxiety,noun,B1,,,
anxiously,adverb,B1,,,
